feature,correlation
f1,-0.5531
recall,-0.4683
precision,-0.4122
error_step,0.1976
text_length_before,-0.1702
severity_physical_normalized,0.09
unigram_retention,-0.061
length_change_ratio,0.0534
injection_position,0.0437
n_steps_propagated,0.0422
n_verbs,0.04
survival_at_final,-0.034
n_entities,0.0222
n_sentences_affected,-0.0211
n_words_changed,-0.019
n_advs,0.0149
delta_word_count,0.0106
n_adjs,0.0088
bigram_retention,-0.0073
n_nouns,0.0034
tfidf_similarity,0.0026
